kind	cat	name	files	depth	chain
wrapper	A	post_dispatch_message_to_channel_with_delivery	src/services/dispatches/discord_delivery/transport.rs	5	deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	post_idle_recap	src/server/routes/idle_recap.rs	4	run_idle_recap_post_job → delete_previous_card → delete_channel_message → .delete_message
wrapper	A	post_message	src/services/discord/gateway.rs,src/services/discord/meeting_orchestrator/selection_runtime.rs,src/services/discord/monitoring_status.rs,src/services/discord/outbound/manual_delivery.rs,src/services/discord/outbound/serenity_reference.rs,src/services/discord/outbound/transport.rs	1	.send_message
wrapper	A	post_message_with_nonce	src/services/discord/gateway.rs,src/services/discord/outbound/manual_delivery.rs,src/services/discord/outbound/transport.rs	1	.send_message
wrapper	A	post_message_with_reference	src/services/discord/gateway.rs,src/services/discord/outbound/serenity_reference.rs,src/services/discord/outbound/transport.rs	1	.send_message
wrapper	A	post_message_with_reference_and_nonce	src/services/discord/gateway.rs,src/services/discord/outbound/serenity_reference.rs,src/services/discord/outbound/transport.rs	2	post_message_with_reference → .send_message
wrapper	A	post_raw_message_once	src/services/dispatches/discord_delivery/transport.rs	1	REST:channels/{channel_id}/messages
wrapper	A	post_recap_card	src/services/discord/idle_recap/card.rs	2	edit_channel_message_with_components → .edit_message
wrapper	A	post_send_finalize	src/services/discord/outbound/turn_output_controller/transport.rs	1	.delete_message
wrapper	A	post_serenity_message_with_nonce	src/services/discord/outbound/transport.rs	1	.send_message
wrapper	A	post_suppressed_injection_note	src/services/discord/tui_prompt_relay/synthetic_start_wiring.rs	1	.say
wrapper	A	post_text_attachment	src/services/discord/outbound/manual_delivery.rs	1	.send_message
wrapper	A	post_voice_playback_failure_notice	src/services/discord/voice_barge_in/final_result_playback.rs	2	send_channel_message → .send_message
wrapper	A	reanchor_bridge_two_message_status_panel_below_answer	src/services/discord/turn_bridge/two_message_panel.rs	1	.delete_message
wrapper	A	reanchor_watcher_two_message_status_panel_below_answer	src/services/discord/tmux_watcher/two_message_panel.rs	2	send_channel_message → .send_message
wrapper	A	reclaim_orphan_external_input_placeholder	src/services/discord/tmux_watcher/placeholder_reclaim.rs	3	delete_nonterminal_placeholder → delete_placeholder_with_operation → .delete_message
wrapper	A	reconcile_already_committed_after_edit_failure	src/services/discord/tmux_watcher/committed_placeholder_cleanup.rs	4	delete_terminal_placeholder_unless_delivered → delete_placeholder_unless_delivered → delete_placeholder_with_operation → .delete_message
wrapper	A	reconcile_orphan_suppressed_placeholder_for_restored_watcher	src/services/discord/tmux.rs	4	apply_placeholder_suppression → delete_nonterminal_placeholder → delete_placeholder_with_operation → .delete_message
